question_id,concept_id
143390,T-0
168440,T-1
537140,T-2
537140,T-3
648960,T-4
860880,T-4
1583150,T-5
1796920,T-5
1857360,T-6
2256930,T-2
2256930,T-3
2359300,T-7
2457320,T-6
2607030,T-5
2626370,T-2
2626370,T-3
2626370,T-1
3043330,T-8
3140690,T-1
3459510,T-5
3471200,T-0
3608600,T-6
3609890,T-5
4200710,T-5
4227950,T-5
4749200,T-6
4749200,T-2
4749200,T-1
4944750,T-2
5083540,T-2
5083540,T-3
5611350,T-9
5741970,T-4
5827290,T-2
6164860,T-6
7624020,T-6
7679020,T-0
7837270,T-5
8129800,T-2
8129800,T-3
8828680,T-2
8828680,T-3
9181590,T-6
9297180,T-2
9984290,T-5
10103190,T-8
10214070,T-6
10433330,T-0
10795630,T-8
10827780,T-5
11271470,T-0
11271470,T-8
11604390,T-4
11985680,T-0
12085990,T-9
12768720,T-2
12903620,T-7
12929430,T-2
12987220,T-2
12987220,T-3
13372060,T-3
14162640,T-8
14936080,T-2
14936080,T-3
14936080,T-1
14992480,T-3
15612820,T-9
16820230,T-2
16820230,T-3
18594770,T-0
18772190,T-5
19241190,T-4
19835400,T-0
19867580,T-7
19991400,T-2
20826780,T-2
21448310,T-7
21587540,T-3
21685730,T-2
21685730,T-3
21685730,T-1
22025090,T-0
22824900,T-6
23157670,T-9
23323510,T-4
23431940,T-5
24781920,T-2
25309250,T-0
25482480,T-8
26561720,T-4
26607960,T-7
26672520,T-8
27757470,T-2
27757470,T-9
28619210,T-2
29208610,T-6
29464210,T-6
29485210,T-8
29903370,T-6
30995750,T-9
31532060,T-5
31936570,T-8
32046640,T-4
32065910,T-7
32551300,T-1
32968290,T-5
34220730,T-4
34485180,T-6
35879220,T-4
36305860,T-2
36305860,T-3
36305860,T-1
37287590,T-4
37796290,T-0
38586970,T-7
38732030,T-0
38979540,T-5
39070080,T-8
39070080,T-9
39363200,T-7
