Run_ID,Dataset,Trial,Baseline_Type,A_Size,B_Size,Total_Pairs_Evaluated,Recall,Precision,F1,Tokens,Time_s
1,IMDB,1,Block_5_Full,50,50,2500,55.25,74.48,63.44,114997,144.58
2,IMDB,2,Block_5_Full,50,50,2500,53.69,73.02,61.88,114951,151.74
3,IMDB,3,Block_5_Full,50,50,2500,55.25,73.66,63.14,115061,143.9
4,IMDB,1,Block_10_Full,50,50,2500,55.49,73.35,63.18,56855,71.0
5,IMDB,2,Block_10_Full,50,50,2500,54.84,71.47,62.06,56931,71.3
6,IMDB,3,Block_10_Full,50,50,2500,53.36,70.15,60.61,56879,72.63
7,IMDB,1,Block_15_Full,50,50,2500,40.66,79.61,53.83,44635,58.92
8,IMDB,2,Block_15_Full,50,50,2500,47.87,77.56,59.2,45195,71.75
9,IMDB,3,Block_15_Full,50,50,2500,46.8,79.53,58.93,45023,57.65
10,IMDB,1,Block_20_Full,50,50,2500,34.43,77.35,47.65,33434,53.28
11,IMDB,2,Block_20_Full,50,50,2500,30.16,80.53,43.89,32962,43.25
12,IMDB,3,Block_20_Full,50,50,2500,32.62,79.6,46.28,33535,69.36
13,IMDB,1,Block_25_Full,50,50,2500,41.07,68.07,51.23,23866,56.84
14,IMDB,2,Block_25_Full,50,50,2500,40.49,64.16,49.65,24043,65.98
15,IMDB,3,Block_25_Full,50,50,2500,40.08,64.43,49.42,23985,42.53
16,Emails,1,Block_5_Full,100,100,10000,96.19,72.36,82.59,150355,390.75
17,Emails,2,Block_5_Full,100,100,10000,96.01,71.12,81.71,150448,369.3
18,Emails,3,Block_5_Full,100,100,10000,95.49,72.69,82.55,150585,360.39
19,Emails,1,Block_10_Full,100,100,10000,91.51,75.43,82.69,63261,132.64
20,Emails,2,Block_10_Full,100,100,10000,89.95,76.21,82.51,63147,133.26
21,Emails,3,Block_10_Full,100,100,10000,89.08,74.49,81.14,63150,134.96
22,Emails,1,Block_15_Full,100,100,10000,85.1,75.31,79.9,42214,96.02
23,Emails,2,Block_15_Full,100,100,10000,83.88,73.89,78.57,42226,112.43
24,Emails,3,Block_15_Full,100,100,10000,82.84,74.22,78.3,42218,86.07
25,Emails,1,Block_20_Full,100,100,10000,83.71,77.9,80.7,29545,59.15
26,Emails,2,Block_20_Full,100,100,10000,82.5,79.6,81.02,29447,57.91
27,Emails,3,Block_20_Full,100,100,10000,83.36,77.71,80.43,29547,63.52
28,Emails,1,Block_25_Full,100,100,10000,72.44,71.94,72.19,23576,46.43
29,Emails,2,Block_25_Full,100,100,10000,72.62,69.6,71.08,23705,47.14
30,Emails,3,Block_25_Full,100,100,10000,70.36,70.86,70.61,23532,41.99
31,StackOverflow,1,Block_5_Full,100,10,1000,65.83,84.04,73.83,27378,32.29
32,StackOverflow,2,Block_5_Full,100,10,1000,65.83,84.04,73.83,27368,34.65
33,StackOverflow,3,Block_5_Full,100,10,1000,65.0,83.87,73.24,27383,41.65
34,StackOverflow,1,Block_10_Full,100,10,1000,66.67,89.89,76.56,12604,20.38
35,StackOverflow,2,Block_10_Full,100,10,1000,67.5,89.01,76.78,12599,13.69
36,StackOverflow,3,Block_10_Full,100,10,1000,67.5,89.01,76.78,12628,17.3
37,StackOverflow,1,Block_15_Full,100,10,1000,63.33,91.57,74.88,11880,12.94
38,StackOverflow,2,Block_15_Full,100,10,1000,64.17,90.59,75.12,11888,15.12
39,StackOverflow,3,Block_15_Full,100,10,1000,62.5,91.46,74.26,11876,13.52
40,StackOverflow,1,Block_20_Full,100,10,1000,52.5,88.73,65.97,11385,9.86
41,StackOverflow,2,Block_20_Full,100,10,1000,55.83,89.33,68.72,11401,9.83
42,StackOverflow,3,Block_20_Full,100,10,1000,55.0,89.19,68.04,11372,12.47
43,StackOverflow,1,Block_25_Full,100,10,1000,55.83,94.37,70.16,11123,9.45
44,StackOverflow,2,Block_25_Full,100,10,1000,56.67,94.44,70.83,11098,10.58
45,StackOverflow,3,Block_25_Full,100,10,1000,58.33,94.59,72.16,11076,8.33
